cima,esquerda,baixo,direita,meio_x,meio_y,classe,classe_prob,prob,tempo,x,y,z,yaw,v,w
277,60,454,538,299.0,365.5,navio,navio 0.37,0.37,1617100957.9605942,-1.07215416431427,-0.5343719720840454,0.12092482298612595,53.896460160580496,0,0
279,76,449,516,296.0,364.0,navio,navio 0.31,0.31,1617100964.4489596,-1.2792179584503174,-0.8999948501586914,0.2525562047958374,53.89481408499053,,#VALUE!
279,70,446,522,296.0,362.5,navio,navio 0.31,0.31,1617100967.6542563,-1.213765025138855,-0.7784870266914368,0.20064769685268402,53.95068161730665,,#VALUE!
279,59,449,529,294.0,364.0,navio,navio 0.32,0.32,1617100970.920464,-1.1609193086624146,-0.6860707402229309,0.11692557483911514,52.66046229818583,,#VALUE!
96,255,353,547,401.0,224.5,popa,popa 0.39,0.39,1617101007.0146058,2.699090003967285,4.045993804931641,1.3008121252059937,40.02330776753076,,
226,327,298,481,404.0,262.0,meianau,meianau 0.31,0.31,1617101007.0146425,2.699090003967285,4.045993804931641,1.3008121252059937,40.02330776753076,,
96,255,353,547,401.0,224.5,navio,navio 0.52,0.52,1617101007.0146601,2.699090003967285,4.045993804931641,1.3008121252059937,40.02330776753076,,
102,131,426,369,250.0,264.0,popa,popa 0.32,0.32,1617101010.3067348,3.3873379230499268,4.151876449584961,1.189116358757019,46.655025300641285,,
218,190,311,313,251.5,264.5,meianau,meianau 0.66,0.66,1617101010.3067708,3.3873379230499268,4.151876449584961,1.189116358757019,46.655025300641285,,
106,77,354,411,244.0,230.0,navio,navio 0.82,0.82,1617101010.3067856,3.3873379230499268,4.151876449584961,1.189116358757019,46.655025300641285,,
204,226,359,403,314.5,281.5,meianau,meianau 0.66,0.66,1617101013.5358691,3.9655752182006836,4.332810878753662,1.0607653856277466,49.13232125222656,,
174,132,354,493,312.5,264.0,navio,navio 0.79,0.79,1617101013.5359123,3.9655752182006836,4.332810878753662,1.0607653856277466,49.13232125222656,,
