cima,esquerda,baixo,direita,meio_x,meio_y,classe,classe_prob,prob,tempo,x,y,z,yaw,v,w
0,0,390,383,191.5,195.0,proa,proa 0.35,0.35,1618353578.6729953,0.0,0.0,0.11708506941795349,18.432103084069166,,
66,0,330,519,259.5,198.0,navio,navio 0.30,0.30,1618353583.5333805,0.0,0.0,0.03461582958698273,18.366683532198767,,
66,0,330,519,259.5,198.0,navio,navio 0.30,0.30,1618353587.186762,0.0,0.0,-0.000991536770015955,18.328762321926863,,
268,48,352,400,224.0,310.0,meianau,meianau 0.64,0.64,1618353593.6619434,0.0,0.0,-0.03056933544576168,18.415246177197556,,
267,48,353,400,224.0,310.0,meianau,meianau 0.63,0.63,1618353596.6741252,0.0,0.0,0.0072648231871426105,18.417015196192587,,
267,51,353,397,224.0,310.0,meianau,meianau 0.65,0.65,1618353599.707464,0.0,0.0,-0.01384755689650774,18.453549878062987,,
268,45,352,403,224.0,310.0,meianau,meianau 0.66,0.66,1618353603.4176903,0.0,0.0,-0.051642321050167084,18.430798517937664,,
268,50,351,399,224.5,309.5,meianau,meianau 0.66,0.66,1618353607.102601,0.0,0.0,-0.05592671409249306,18.38792542051752,,
267,47,352,401,224.0,309.5,meianau,meianau 0.65,0.65,1618353632.376599,0.0,0.0,-0.23164983093738556,18.332676020321276,,
267,51,352,398,224.5,309.5,meianau,meianau 0.66,0.66,1618353635.4060488,0.0,0.0,-0.2578013241291046,18.388328401678525,,
269,46,351,401,223.5,310.0,meianau,meianau 0.66,0.66,1618353638.5335045,0.0,0.0,-0.29128697514533997,18.39203719439786,,
265,43,355,404,223.5,310.0,meianau,meianau 0.63,0.63,1618353641.5710056,0.0,0.0,-0.30775186419487,18.408771157864397,,
266,46,353,403,224.5,309.5,meianau,meianau 0.65,0.65,1618353644.8591092,0.0,0.0,-0.318756639957428,21.770562946587972,,
268,46,351,402,224.0,309.5,meianau,meianau 0.62,0.62,1618353648.0373254,0.0,0.0,-0.3293320834636688,28.13161374326925,,
262,44,352,137,90.5,307.0,proa,proa 0.32,0.32,1618353651.1705859,0.0,0.0,-0.3104656934738159,33.06812955080138,,
198,134,390,482,308.0,294.0,meianau,meianau 0.30,0.30,1618353670.0990052,0.0,0.0,-0.44275274872779846,35.66605688841284,,
218,105,386,519,312.0,302.0,meianau,meianau 0.40,0.40,1618353673.2425563,0.0,0.0,-0.4507753551006317,43.01288156724535,,
188,129,377,519,324.0,282.5,meianau,meianau 0.31,0.31,1618353676.4312518,0.0,0.0,-0.4597366452217102,29.743709142121478,,
175,123,390,519,321.0,282.5,meianau,meianau 0.31,0.31,1618353679.7280955,0.0,0.0,-0.5073038339614868,17.606913779494036,,
228,144,382,445,294.5,305.0,meianau,meianau 0.68,0.68,1618353683.0136309,0.0,0.0,-0.45881226658821106,9.491146403901482,,
247,67,364,386,226.5,305.5,meianau,meianau 0.67,0.67,1618353686.1549072,0.0,0.0,-0.4985889792442322,7.6801558964184835,,
232,18,339,126,72.0,285.5,proa,proa 0.35,0.35,1618353686.1549337,0.0,0.0,-0.4985889792442322,7.6801558964184835,,
238,0,370,491,245.5,304.0,meianau,meianau 0.48,0.48,1618353689.3879356,0.0,0.0,-0.4901539385318756,3.852490564786657,,
237,0,371,490,245.0,304.0,meianau,meianau 0.38,0.38,1618353692.6474214,0.0,0.0,-0.530902624130249,12.503758431686553,,
243,0,369,450,225.0,306.0,meianau,meianau 0.34,0.34,1618353695.8302886,0.0,0.0,-0.5583003759384155,21.05277153652217,,
248,5,359,429,217.0,303.5,meianau,meianau 0.69,0.69,1618353699.2746277,0.0,0.0,-0.5747604966163635,34.17186079991873,,
210,0,362,106,53.0,286.0,proa,proa 0.46,0.46,1618353699.2746532,0.0,0.0,-0.5747604966163635,34.17186079991873,,
237,126,373,402,264.0,305.0,meianau,meianau 0.56,0.56,1618353702.5084624,0.0,0.0,-0.5621495842933655,35.586427127974225,,
213,132,390,519,325.5,301.5,meianau,meianau 0.37,0.37,1618353705.7249131,0.0,0.0,-0.5671085715293884,37.022628080225736,,
208,91,390,519,305.0,299.0,meianau,meianau 0.35,0.35,1618353715.3788748,0.0,0.0,-0.5511258244514465,17.75637880910146,,
242,61,365,395,228.0,303.5,meianau,meianau 0.70,0.70,1618353718.4639456,0.0,0.0,-0.5269619226455688,17.878885082054797,,
273,6,356,430,218.0,314.5,meianau,meianau 0.56,0.56,1618353721.4905975,0.0,0.0,-0.5141571164131165,17.892340554719727,,
124,0,390,519,259.5,257.0,navio,navio 0.32,0.32,1618353721.4906228,0.0,0.0,-0.5141571164131165,17.892340554719727,,
275,26,351,411,218.5,313.0,meianau,meianau 0.55,0.55,1618353724.649416,0.0,0.0,-0.5375089049339294,17.946155615190253,,
275,32,353,406,219.0,314.0,meianau,meianau 0.47,0.47,1618353727.7530706,0.0,0.0,-0.5294602513313293,17.984336372650628,,
