deteccao,tempo,yaw,yaw_yoloff,yaw_lk,yaw_enc
meianau,5.999477,32.45883911079579,45.0,45.0,45.0
meianau,9.012419,32.425255070646834,45.0,45.0,45.0
meianau,11.940713,32.44086205290032,45.0,45.0,45.0
meianau,14.950437,32.471645715489565,45.0,45.0,45.0
meianau,17.865777,32.4700679417913,45.0,45.0,45.0
meianau,20.786462,32.47013624368299,45.0,45.0,45.0
meianau,23.747463,32.4407322793061,45.0,45.0,45.0
meianau,26.640769,32.45378477080998,45.0,45.0,45.0
meianau,29.572617,32.45724084653002,45.0,45.0,45.0
meianau,32.541328,32.483400471051155,45.0,45.0,45.0
meianau,35.459856,32.4896569243309,45.0,45.0,45.0
meianau,38.356752,32.49230020753969,45.0,45.0,45.0
meianau,41.348212,32.49599533988066,45.0,45.0,45.0
meianau,44.281714,32.47404994207741,45.0,45.0,45.0
meianau,47.343403,9.28473125699454,45.0,45.0,45.0
meianau,50.304367,9.502607461328788,45.0,45.0,45.0
meianau,53.293396,9.788102538446163,45.0,45.0,45.0
meianau,56.320015,10.002987119923938,45.0,45.0,45.0
meianau,59.299193,10.175490377601768,45.0,45.0,45.0
meianau,62.22941,10.262069855520842,45.0,45.0,45.0
meianau,65.17184,10.321458350354089,45.0,45.0,45.0
meianau,68.072917,10.421042508452901,45.0,45.0,45.0
meianau,71.004622,10.477644286104779,45.0,45.0,45.0
meianau,73.970831,10.509664212933801,45.0,45.0,45.0
meianau,76.834812,10.513106628275496,45.0,45.0,45.0
meianau,79.727871,10.539915120767786,45.0,45.0,45.0
meianau,82.734199,10.54046153590139,45.0,45.0,45.0
meianau,85.648752,10.529273686040922,45.0,45.0,45.0
meianau,88.527711,10.554190216133126,45.0,45.0,45.0
meianau,91.528686,10.556485159694253,45.0,45.0,45.0
meianau,94.581463,10.533761120325604,45.0,45.0,45.0
meianau,97.588475,10.248348005478293,45.0,45.0,45.0
meianau,100.564456,39.245578032403515,45.0,45.0,45.0
meianau,103.475933,39.09824060672257,45.0,45.0,45.0
meianau,106.610443,38.89687638470686,45.0,45.0,45.0
meianau,109.573754,38.70510857847499,45.0,45.0,45.0
meianau,112.610176,38.546883831257055,45.0,45.0,45.0
