yaw_encoder,data,dt
45.0,2021-04-26 19:19:23.323340,0.0
45.0,2021-04-26 19:19:23.522774,0.199431
45.0,2021-04-26 19:19:23.726246,0.402904
45.0,2021-04-26 19:19:23.925857,0.602519
45.0,2021-04-26 19:19:24.125356,0.8020120000000001
45.0,2021-04-26 19:19:24.324926,1.001584
45.0,2021-04-26 19:19:24.524491,1.201143
45.0,2021-04-26 19:19:24.724085,1.400738
45.0,2021-04-26 19:19:24.923584,1.600241
45.0,2021-04-26 19:19:25.123159,1.799816
45.0,2021-04-26 19:19:25.322881,1.9995290000000001
45.0,2021-04-26 19:19:25.522214,2.1988700000000003
45.0,2021-04-26 19:19:25.725748,2.402404
45.0,2021-04-26 19:19:25.925237,2.6018860000000004
45.0,2021-04-26 19:19:26.126181,2.8028380000000004
45.0,2021-04-26 19:19:26.324372,3.001034
45.0,2021-04-26 19:19:26.523937,3.200594
45.0,2021-04-26 19:19:26.723497,3.400154
45.0,2021-04-26 19:19:26.926284,3.602941
45.0,2021-04-26 19:19:27.122635,3.79929
45.0,2021-04-26 19:19:27.322148,3.998805
45.0,2021-04-26 19:19:27.525690,4.202346
45.0,2021-04-26 19:19:27.725190,4.401846000000001
45.0,2021-04-26 19:19:27.924753,4.601411000000001
45.0,2021-04-26 19:19:28.124333,4.800985000000001
45.0,2021-04-26 19:19:28.323941,5.000597000000001
45.0,2021-04-26 19:19:28.523398,5.200056000000001
45.0,2021-04-26 19:19:28.722983,5.399636000000001
45.0,2021-04-26 19:19:28.922488,5.599149000000001
45.0,2021-04-26 19:19:29.122085,5.7987400000000004
45.0,2021-04-26 19:19:29.325538,6.002194
45.0,2021-04-26 19:19:29.525084,6.20174
45.0,2021-04-26 19:19:29.724687,6.401344
45.0,2021-04-26 19:19:29.924240,6.6008949999999995
45.0,2021-04-26 19:19:30.123772,6.800421999999999
45.0,2021-04-26 19:19:30.323288,6.999948999999999
45.0,2021-04-26 19:19:30.522907,7.1995629999999995
45.0,2021-04-26 19:19:30.722416,7.399073
45.0,2021-04-26 19:19:30.921962,7.598617999999999
45.0,2021-04-26 19:19:31.125440,7.802102
45.0,2021-04-26 19:19:31.324966,8.001623
45.0,2021-04-26 19:19:31.524584,8.201241
45.0,2021-04-26 19:19:31.724107,8.400765
45.0,2021-04-26 19:19:31.923641,8.600298
45.0,2021-04-26 19:19:32.123255,8.799909000000001
45.0,2021-04-26 19:19:32.322805,8.999447000000002
45.0,2021-04-26 19:19:32.522298,9.198958000000001
45.0,2021-04-26 19:19:32.721914,9.398568000000001
45.0,2021-04-26 19:19:32.925375,9.602028
45.0,2021-04-26 19:19:33.126394,9.803036
45.0,2021-04-26 19:19:33.324476,10.001135
45.0,2021-04-26 19:19:33.524033,10.200688
45.0,2021-04-26 19:19:33.723543,10.400203999999999
45.0,2021-04-26 19:19:33.923127,10.599782
45.0,2021-04-26 19:19:34.122680,10.799336
45.0,2021-04-26 19:19:34.322226,10.998883000000001
45.0,2021-04-26 19:19:34.521811,11.19847
45.0,2021-04-26 19:19:34.725262,11.401918
45.0,2021-04-26 19:19:34.924884,11.601537
45.0,2021-04-26 19:19:35.124432,11.801086
45.0,2021-04-26 19:19:35.323947,12.000601999999999
45.0,2021-04-26 19:19:35.523513,12.200157999999998
45.0,2021-04-26 19:19:35.723029,12.399683999999999
45.0,2021-04-26 19:19:35.922553,12.59921
45.0,2021-04-26 19:19:36.122118,12.798774
45.0,2021-04-26 19:19:36.329880,13.006533
45.0,2021-04-26 19:19:36.521189,13.197842
45.0,2021-04-26 19:19:36.724753,13.401408
45.0,2021-04-26 19:19:36.924226,13.600883
45.0,2021-04-26 19:19:37.123840,13.800495
