X_k,Y_k,Altura,Orientacao_k,Tempo
44.08589172363281,-298.72393798828125,5.032999515533447,179.93975915930957,1607527528.7508855
29.634562174479164,-199.84476725260416,-35.931724548339844,-118.63131442131795,1607527660.599539
38.89201545715332,-262.29658126831055,-35.92633056640625,-155.6667421049771,1607527660.8002589
42.3222659883045,-285.493649437314,-35.92262268066406,-169.4039130552784,1607527661.00105
43.60503595525569,-294.3194946289062,-35.92668151855469,-174.61155669983228,1607527661.2018533
44.07333416408963,-297.6897496117486,-35.93130111694336,-176.59414802277053,1607527661.4026527
44.21934866462526,-298.9784514328529,-35.93766403198242,-177.3685886192285,1607527661.603515
44.218797132961654,-299.4729865633608,-35.94700241088867,-177.6760470210397,1607527661.8043432
44.20094445024851,-299.6625419593079,-35.94956970214844,-177.79694908775753,1607527662.0091336
44.14613848712298,-299.73664313948603,-35.95432662963867,-177.84252197887494,1607527662.2098987
44.04732309909726,-299.7679838755945,-35.96171569824219,-177.84701334358257,1607527662.4106686
43.93222806896318,-299.7865185648758,-35.97052001953125,-177.846713769418,1607527662.6121385
43.8147694652591,-299.7987660729515,-35.97699737548828,-177.84316220336854,1607527662.8129108
43.66478304178489,-299.81027185075226,-35.98680877685547,-177.84508394225762,1607527663.0137095
43.51393382876294,-299.8217206436054,-35.99724578857422,-177.83836624000853,1607527663.2144494
43.3821652837218,-299.83360033175825,-36.00836181640625,-177.83499930541203,1607527663.415206
43.24637543783751,-299.8454371373642,-36.01847457885742,-177.8383996599366,1607527663.6159945
43.13236402238465,-299.8545604545181,-36.02403259277344,-177.85029484106545,1607527663.8167484
43.029688971220665,-299.86211920609645,-36.029151916503906,-177.85947097107723,1607527664.0175605
42.955429395890114,-299.86830704988057,-36.03329849243164,-177.8654570109239,1607527664.2183404
42.838887694487575,-299.8806102904713,-36.04529190063477,-177.8666247634975,1607527664.4191082
42.74113783389687,-299.89060962325567,-36.051734924316406,-177.86664388246106,1607527664.6199622
42.650476228507564,-299.8994648889575,-36.060508728027344,-177.86706664292205,1607527664.8209093
42.526860847996616,-299.9105236859942,-36.07712173461914,-177.87211140407845,1607527665.0216188
42.41520334988131,-299.91959502202513,-36.08673477172852,-177.86606781436504,1607527665.2223113
42.3115130337292,-299.9273225275866,-36.095211029052734,-177.86913076542436,1607527665.42287
42.153047819700646,-299.937252705261,-36.11008834838867,-177.86888381409082,1607527665.6235738
41.67575489006669,-299.7761259813352,-36.0926513671875,-177.70616744545288,1607527685.9006221
41.469220744411146,-299.7154486507161,-36.092079162597656,-177.54312630330404,1607527686.1013622
41.32918939629693,-299.695082246946,-36.10031127929688,-177.5096644339985,1607527686.3021488
41.100368891816444,-299.697393554721,-36.09035873413086,-177.5599969455295,1607527686.904317
40.97501203171251,-299.70101122631024,-36.09320068359375,-177.55636582749585,1607527687.1084578
40.87792895521614,-299.70588232049624,-36.09382629394531,-177.520119069619,1607527687.309403
40.77176847151537,-299.7125147207484,-36.096046447753906,-177.4635323296944,1607527687.5102315
40.666134522480654,-299.720234819865,-36.09922790527344,-177.4565344352041,1607527687.7109165
40.54524989902834,-299.7285024092821,-36.10306167602539,-177.46304308342025,1607527687.911777
40.25972653856514,-299.7526902515316,-36.08824157714844,-177.48780955077436,1607527688.5139966
40.06988744006896,-299.7705486167011,-36.09123229980469,-177.45510063400604,1607527688.7148786
39.96302965696177,-299.78055739740284,-36.09010696411133,-177.4122833571846,1607527688.9158738
39.8567898670445,-299.78988779440135,-36.094017028808594,-177.37894665960147,1607527689.116816
39.78765683245544,-299.79569613609,-36.0960578918457,-177.37155420768062,1607527689.3177288
39.63899636332878,-299.8060249124271,-36.10370635986328,-177.37115470368735,1607527689.5186589
39.308091146134345,-299.8306605618132,-36.08938980102539,-177.40277158818773,1607527690.1208613
38.94801475781003,-299.8649480703502,-36.08713912963867,-177.32039078473727,1607527690.3216436
38.569687771716396,-299.8952270136097,-36.10051727294922,-177.31942185603413,1607527690.5225782
38.22690214739708,-299.92186240031936,-36.084415435791016,-177.33535504147042,1607527691.1254368
38.041202349831764,-299.93744929119265,-36.08747100830078,-177.34582282085492,1607527691.329383
37.899964974506844,-299.95096617484205,-36.094635009765625,-177.32306177081963,1607527691.5301552
37.786044149136536,-299.9618062960354,-36.09509658813477,-177.2785007609899,1607527691.7308805
37.69258424364074,-299.9700019475042,-36.09772872924805,-177.25306297094042,1607527691.9316823
37.6283539090415,-299.97541457677016,-36.099708557128906,-177.24459555505277,1607527692.1324403
37.52851324371993,-299.9838381406617,-36.10333251953125,-177.24555672313454,1607527692.3331664
37.3378965526466,-300.0003148688384,-36.08720016479492,-177.25992311460436,1607527692.7344162
37.179171338314916,-300.01307770786224,-36.08947372436523,-177.28682609029872,1607527692.9350507
37.020818302799285,-300.02555362149224,-36.09301376342773,-177.22333946803505,1607527693.1357965
